Income_Range,"Change in No Children 2018-2019","Change in Have Children 2018-2019","Change in No Children 2019-2020","Change in Have Children 2019-2020","Change in No Children 2020-2021","Change in Have Children 2020-2021","Change in No Children 2021-2022","Change in Have Children 2021-2022"
"10 million ~ 30 million won",1.7999999999999972,-1.7999999999999972,1.8999999999999986,-1.8999999999999986,0.30000000000000426,-0.30000000000000426,2.6999999999999957,-2.6999999999999957
"30 million ~ 50 million won",2.299999999999997,-2.299999999999997,2.799999999999997,-2.799999999999997,-0.19999999999999574,0.19999999999999574,-0.3999999999999986,0.3999999999999986
"50 million ~ 70 million won",2.200000000000003,-2.200000000000003,1.7000000000000028,-1.7000000000000028,0.5999999999999943,-0.5999999999999943,-0.5999999999999943,0.5999999999999943
"70 million ~ 100 million won",2.700000000000003,-2.700000000000003,1.1000000000000014,-1.1000000000000014,1.7999999999999972,-1.7999999999999972,0.8999999999999986,-0.8999999999999986
"100 million won & more",2.299999999999997,-2.299999999999997,-0.19999999999999574,0.19999999999999574,2.5999999999999943,-2.5999999999999943,-1.6999999999999957,1.6999999999999957
