Income_Range,"Total Change in Have Children 2018-2022","Total Change in No Children 2018-2022","Change in Avg Number of Children 2018-2022"
"10 million ~ 30 million won",-6.699999999999996,6.699999999999996,-0.10999999999999999
"70 million ~ 100 million won",-6.5,6.5,-0.07999999999999996
"30 million ~ 50 million won",-4.5,4.5,-0.08000000000000007
"50 million ~ 70 million won",-3.9000000000000057,3.9000000000000057,-0.06999999999999995
"Less then 10 million won",-3.3999999999999986,3.3999999999999986,-0.040000000000000036
"100 million won & more",-3,3,-0.040000000000000036
